YearsExperience,EducationLevel,JobRole,CompanyType,Location,Salary
1.1,Bachelor,Developer,Startup,Urban,39343
1.3,Master,Analyst,MNC,Urban,46205
1.5,Bachelor,Developer,Startup,Suburban,37731
2.0,Master,Analyst,MNC,Urban,43525
2.2,PhD,Developer,MNC,Rural,39891
2.9,Master,Manager,Startup,Urban,56642
3.0,Master,Manager,MNC,Urban,60150
3.2,Bachelor,Developer,Startup,Suburban,54445
3.2,Bachelor,Developer,Startup,Urban,64445
3.7,PhD,Analyst,MNC,Suburban,57189
3.9,Bachelor,Manager,MNC,Urban,63218
4.0,Master,Analyst,Startup,Suburban,55794
4.0,Bachelor,Developer,MNC,Suburban,56957
4.1,Bachelor,Manager,Startup,Rural,57081
4.5,Master,Manager,MNC,Urban,61111
4.9,PhD,Manager,Startup,Urban,67938
5.1,Bachelor,Developer,Startup,Urban,66029
5.3,PhD,Manager,MNC,Rural,83088
5.9,Master,Analyst,Startup,Urban,81363
6.0,Master,Manager,MNC,Urban,93940
6.8,PhD,Manager,MNC,Suburban,91738
7.1,Master,Developer,Startup,Suburban,98273
7.9,Master,Analyst,MNC,Urban,101302
8.2,PhD,Manager,Startup,Urban,113812
8.7,Bachelor,Manager,MNC,Urban,109431
9.0,PhD,Developer,MNC,Rural,105582
9.5,Master,Manager,MNC,Suburban,116969
9.6,PhD,Analyst,Startup,Rural,112635
10.3,PhD,Manager,MNC,Urban,122391
10.5,Master,Developer,Startup,Urban,121872

